Key,Status,Applied On,Notes,Bucket,Title,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,URL
Sutter Health::R-132450,unapplied,,,"Experience required, not acute","Registered Nurse II, Infusion",Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Infusion_R-132450
Sutter Health::R-138278,unapplied,,,"Experience required, not acute","Registered Nurse, Emergency - Limited Term",Sutter Health,Davis,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse--Emergency---Limited-Term_R-138278
Sutter Health::R-137930,unapplied,,,"Experience required, not acute","Registered Nurse II, Intensive Care Unit",Sutter Health,Modesto,60-90,2 years RN with prior,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Intensive-Care-Unit_R-137930
Sutter Health::R-138284,unapplied,,,"Experience required, not acute","Registered Nurse, Emergency",Sutter Health,Davis,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse--Emergency_R-138284-1
Sutter Health::R-138661,unapplied,,,"Experience required, not acute","Registered Nurse II, Neonatal ICU",Sutter Health,Modesto,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Neonatal-ICU_R-138661
Sutter Health::R-138564,unapplied,,,"Experience required, not acute","Registered Nurse II, Emergency Department",Sutter Health,Modesto,60-90,2 year RN,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Emergency-Department_R-138564
Sutter Health::R-138666,unapplied,,,"Experience required, not acute","Registered Nurse II, Emergency Department",Sutter Health,Modesto,60-90,2 year RN,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Emergency-Department_R-138666
Sutter Health::R-138071,unapplied,,,"Experience required, not acute","Registered Nurse II, Infusion",Sutter Health,Santa Cruz,60-90,One year of Chemotherapy/Infusion,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Cruz/Registered-Nurse-II--Infusion_R-138071-1
Sutter Health::R-138420,unapplied,,,"Experience required, not acute","Registered Nurse II, Cath Lab",Sutter Health,Modesto,60-90,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Cath-Lab_R-138420-1
Sutter Health::R-137931,unapplied,,,"Experience required, not acute","Registered Nurse II, Intensive Care Unit",Sutter Health,Modesto,60-90,2 years RN with prior,2026-08-13,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Intensive-Care-Unit_R-137931
Sutter Health::R-138098,unapplied,,,"Experience required, not acute","Registered Nurse II, Wound Care",Sutter Health,Davis,60-90,2 years of recent relevant experience,2026-08-12,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse-II--Wound-Care_R-138098
Sutter Health::R-136908,unapplied,,,"Experience required, not acute","RN, CWOCN, Certified Wound Care Nurse Lead, Home Health",Sutter Health,Sacramento,60-90,8 years of recent relevant experience,2026-08-03,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/RN--CWOCN--Certified-Wound-Care-Nurse-Lead--Home-Health_R-136908
Sutter Health::R-133554,unapplied,,,"Experience required, not acute","Registered Nurse II, Interventional Radiology",Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-07-30,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Interventional-Radiology_R-133554
Sutter Health::R-133551,unapplied,,,"Experience required, not acute","Registered Nurse II, Interventional Radiology",Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-07-22,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Interventional-Radiology_R-133551
PACS Group::JR179701,unapplied,,,"Experience required, not acute",On-Call Registered Nurse (RN),PACS Group,Placerville,90-120,"Complete required reports and documentation, including accident/incident reports.",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/The-Pines-at-Placerville-Healthcare-Center/On-Call-Registered-Nurse--RN-_JR179701-1
PACS Group::JR173595,unapplied,,,"Experience required, not acute",Part time RN,PACS Group,Carmichael,90-120,Must have training in rehabilitative and restorative nursing practices.,2026-06-25,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Whitney-Oaks-Care-Center/Part-time-RN_JR173595
Sutter Health::R-139208,unapplied,,,"Experience required, not acute","Registered Nurse, Home Health",Sutter Health,Auburn,90-120,5 years recent relevant,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Auburn/Registered-Nurse--Home-Health_R-139208
Sutter Health::R-139096,unapplied,,,"Experience required, not acute","RN, Hospital Liaison, Hospice .8",Sutter Health,Santa Rosa,90-120,5 years recent relevant,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/RN--Hospital-Liaison--Hospice-8_R-139096
Sutter Health::R-137055,unapplied,,,"Experience required, not acute","Staff Nurse II, Labor & Delivery",Sutter Health,Santa Rosa,90-120,2 years of recent relevant,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Labor---Delivery_R-137055-1
Sutter Health::R-134548,unapplied,,,"Experience required, not acute","Lead Wound Care RN (CWON), Home Health",Sutter Health,Santa Rosa,90-120,8 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Lead-Wound-Care-RN--CWON---Home-Health_R-134548
Sutter Health::R-130687,unapplied,,,"Experience required, not acute","Staff Nurse II, Surgery",Sutter Health,Santa Rosa,90-120,2 years of recent relevant experience,2026-08-16,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Surgery_R-130687-1
Sutter Health::R-132872,unapplied,,,"Experience required, not acute","Staff Nurse II, Surgery",Sutter Health,Santa Rosa,90-120,2 years of recent relevant experience,2026-08-12,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Surgery_R-132872-1
Alameda Health System::2222402,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222402-clinical-nurse-ii
Alameda Health System::2222134,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222134-clinical-nurse-ii
Alameda Health System::2222133,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222133-clinical-nurse-ii
Alameda Health System::2222132,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222132-clinical-nurse-ii
Alameda Health System::2222131,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222131-clinical-nurse-ii
Alameda Health System::2222060,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222060-clinical-nurse-ii
Alameda Health System::2222039,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222039-clinical-nurse-ii
Alameda Health System::2222037,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222037-clinical-nurse-ii
Alameda Health System::2222007,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222007-clinical-nurse-ii
Alameda Health System::2222005,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2222005-clinical-nurse-ii
Alameda Health System::2221393,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221393-slh-rn-ii
Alameda Health System::2221370,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221370-slh-rn-ii
Alameda Health System::2221366,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"6955 Foothill Blvd, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221366-clinical-nurse-ii
Alameda Health System::2221316,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,prepares required records and reports.,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221316-clinical-nurse-ii
Alameda Health System::2221285,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221285-clinical-nurse-ii
Alameda Health System::2221260,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2221260-clinical-nurse-ii
Alameda Health System::2220819,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2220819-slh-rn-ii
Alameda Health System::2220808,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2220808-slh-rn-ii
Alameda Health System::2220807,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2220807-slh-rn-ii
Alameda Health System::2218929,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2218929-clinical-nurse-ii
Alameda Health System::2218922,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2218922-clinical-nurse-ii
Alameda Health System::2218847,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2218847-clinical-nurse-ii
Alameda Health System::2218832,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2218832-clinical-nurse-ii
Alameda Health System::2213132,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2213132-clinical-nurse-ii
Alameda Health System::2212843,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2212843-clinical-nurse-ii
Alameda Health System::2212829,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2212829-clinical-nurse-ii
Alameda Health System::2211861,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"15400 Foothill Blvd, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2211861-clinical-nurse-ii
Alameda Health System::2211369,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2211369-clinical-nurse-ii
Alameda Health System::2202003,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2202003-slh-rn-ii
Alameda Health System::2201545,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2201545-slh-rn-ii
Alameda Health System::2201456,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2201456-slh-rn-ii
Alameda Health System::2194518,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2194518-slh-rn-ii
Alameda Health System::2194502,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2194502-slh-rn-ii
Alameda Health System::2189855,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2189855-clinical-nurse-ii
Alameda Health System::2177094,unapplied,,,"Experience required, not acute",SLH RN II,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2177094-slh-rn-ii
Alameda Health System::2084223,unapplied,,,"Experience required, not acute",Clinical Nurse II,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://alameda-health-system-careers.hctsportals.com/jobs/2084223-clinical-nurse-ii
Sutter Health::R-138763,unapplied,,,"Experience required, not acute","Staff Nurse II, Mom and Baby",Sutter Health,San Francisco,<30,2 years of recent relevant,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Mom-and-Baby_R-138763-1
Sutter Health::R-135369,unapplied,,,"Experience required, not acute",Oncology - Complex Care RN Coordinator,Sutter Health,Oakland,<30,2 years of recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/SMSHCC---Complex-Care-RN-Coordinator_R-135369
Sutter Health::R-135088,unapplied,,,"Experience required, not acute",Oncology- Complex Care RN Coordinator,Sutter Health,Oakland,<30,2 years of recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/SMSHCC---Complex-Care-RN-Coordinator_R-135088
Sutter Health::R-138327,unapplied,,,"Experience required, not acute","Staff Nurse II, Neonatal ICU",Sutter Health,San Francisco,<30,2 years of recent NICU experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Neonatal-ICU_R-138327-1
Sutter Health::R-137333,unapplied,,,"Experience required, not acute","Registered Nurse Specialist II, Heart Care",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Registered-Nurse-Specialist-II--Heart-Care_R-137333
Sutter Health::R-138459,unapplied,,,"Experience required, not acute","Wound Care RN, Home Health",Sutter Health,Alameda,<30,2 Minimum of two years of recent home care experience.,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Alameda/Wound-Care-RN--Home-Health_R-138459
Sutter Health::R-138816,unapplied,,,"Experience required, not acute","Clinical Effectiveness Consultant III, RN",Sutter Health,Castro Valley,<30,5 years recent relevant experience,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Clinical-Effectiveness-Consultant-III--RN_R-138816
Sutter Health::R-136889,unapplied,,,"Experience required, not acute","Staff Nurse II, Emergency Department",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Emergency-Department_R-136889
Sutter Health::R-135664,unapplied,,,"Experience required, not acute","Staff Nurse II, Nursery",Sutter Health,Castro Valley,<30,2 years previous clinical,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Nursery_R-135664-1
Sutter Health::R-137988,unapplied,,,"Experience required, not acute","Staff Nurse II, Emergency Department",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Emergency-Department_R-137988-1
Sutter Health::R-137796,unapplied,,,"Experience required, not acute","Staff Nurse II, Medical Surgical Telemetry ACE",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Medical-Surgical-Telemetry-ACE_R-137796-1
Sutter Health::R-137924,unapplied,,,"Experience required, not acute","Staff Nurse II, Labor and Delivery",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Labor-and-Delivery_R-137924-1
Sutter Health::R-137772,unapplied,,,"Experience required, not acute","Staff Nurse II, Transplant",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Transplant_R-137772-1
Sutter Health::R-137771,unapplied,,,"Experience required, not acute","Staff Nurse II, Advanced Organ Therapy Unit",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Advanced-Organ-Therapy-Unit_R-137771-1
Sutter Health::R-137057,unapplied,,,"Experience required, not acute","Staff Nurse II, Intensive Care Unit",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Intensive-Care-Unit_R-137057-1
Sutter Health::R-136559,unapplied,,,"Experience required, not acute","Staff Nurse II, MSICU",Sutter Health,San Francisco,<30,2 years of recent relevant,2026-08-10,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--MSICU_R-136559-1
Sutter Health::R-135641,unapplied,,,"Experience required, not acute","Staff Nurse II, Operating Room Float Pool",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-07,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Operating-Room-Float-Pool_R-135641-1
Sutter Health::R-136552,unapplied,,,"Experience required, not acute",Breast RN Navigator - Breast Health Center,Sutter Health,San Francisco,<30,5 years of RN navigator,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Breast-RN-Navigator---Breast-Health-Center_R-136552
Sutter Health::R-135939,unapplied,,,"Experience required, not acute","Staff Nurse II, Operating Room Float Pool",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Operating-Room-Float-Pool_R-135939-1
Sutter Health::R-135639,unapplied,,,"Experience required, not acute","Staff Nurse II, Operating Room Float Pool",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Operating-Room-Float-Pool_R-135639-1
Sutter Health::R-135642,unapplied,,,"Experience required, not acute","Staff Nurse II, Operating Room Float Pool",Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-06,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Operating-Room-Float-Pool_R-135642-1
Sutter Health::R-136586,unapplied,,,"Experience required, not acute","Staff Nurse II, House Float",Sutter Health,Castro Valley,<30,2 years of recent relevant experience,2026-08-05,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--House-Float_R-136586-1
Sutter Health::R-136482,unapplied,,,"Experience required, not acute","Staff Nurse II, Pediatric Transport",Sutter Health,San Francisco,<30,2 years of recent relevant,2026-08-03,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Pediatric-Transport_R-136482-1
Sutter Health::R-136564,unapplied,,,"Experience required, not acute","Staff Nurse II, MSICU",Sutter Health,San Francisco,<30,2 years of recent relevant,2026-07-31,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--MSICU_R-136564-1
Sutter Health::R-136562,unapplied,,,"Experience required, not acute","Staff Nurse II, MSICU",Sutter Health,San Francisco,<30,2 years of recent relevant,2026-07-31,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--MSICU_R-136562-1
