Key,Status,Applied On,Notes,Bucket,Title,Details,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,Marked active,URL
Sutter Health::R-138871,closed,,,"Experience required, not acute","Registered Nurse II, Neonatal ICU",,Sutter Health,Sacramento,60-90,2 years nursing,2026-08-28,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Neonatal-ICU_R-138871
Sutter Health::R-139025,unapplied,,,"Experience required, not acute","Registered Nurse II, Labor & Delivery",Full-time · Nights · $82.48–$115.46/hr,Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-27,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Labor---Delivery_R-139025
Sutter Health::R-139077,closed,,,"Experience required, not acute","Registered Nurse II, Pediatrics",,Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Pediatrics_R-139077
Sutter Health::R-135933,closed,,,"Experience required, not acute","Registered Nurse II, Neonatal ICU",Part-time · Nights · $74.98–$104.96/hr,Sutter Health,Modesto,60-90,2 years of recent relevant experience.,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Neonatal-ICU_R-135933
Sutter Health::R-138994,closed,,,"Experience required, not acute","Registered Nurse II, Pediatrics ICU / Peds CVICU",Part-time · Nights · $82.48–$115.46/hr,Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Pediatrics-ICU---Peds-CVICU_R-138994
Sutter Health::R-138402,closed,,,"Experience required, not acute","Staff Nurse II, Birthing Center",Full-time · Nights · $76.40–$101.18/hr,Sutter Health,Davis,60-90,2 years of recent relevant experience.,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Staff-Nurse-II--Birthing-Center_R-138402
Sutter Health::R-135952,closed,,,"Experience required, not acute","Registered Nurse II, Labor & Delivery",,Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Labor---Delivery_R-135952
Sutter Health::R-138497,closed,,,"Experience required, not acute","Registered Nurse II, Operating Room",Part-time · Varied · $76.40–$101.18/hr,Sutter Health,Davis,60-90,2 years of recent relevant experience,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse-II--Operating-Room_R-138497
Sutter Health::R-132450,closed,,,"Experience required, not acute","Registered Nurse II, Infusion",,Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Infusion_R-132450
Sutter Health::R-138278,closed,,,"Experience required, not acute","Registered Nurse, Emergency - Limited Term",Full-time · Varied · $76.40–$101.18/hr,Sutter Health,Davis,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-09T23:16:02+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse--Emergency---Limited-Term_R-138278
Sutter Health::R-137930,unapplied,,,"Experience required, not acute","Registered Nurse II, Intensive Care Unit",,Sutter Health,Modesto,60-90,2 years RN with prior,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Intensive-Care-Unit_R-137930
Sutter Health::R-138284,closed,,,"Experience required, not acute","Registered Nurse, Emergency",Full-time · Varied · $76.40–$101.18/hr,Sutter Health,Davis,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-09T23:16:02+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse--Emergency_R-138284-1
Sutter Health::R-138661,closed,,,"Experience required, not acute","Registered Nurse II, Neonatal ICU",Full-time · Days · $74.98–$104.96/hr,Sutter Health,Modesto,60-90,2 years of recent relevant experience.,2026-08-21,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Neonatal-ICU_R-138661
Sutter Health::R-138564,unapplied,,,"Experience required, not acute","Registered Nurse II, Emergency Department",,Sutter Health,Modesto,60-90,2 year RN,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Emergency-Department_R-138564
Sutter Health::R-138666,unapplied,,,"Experience required, not acute","Registered Nurse II, Emergency Department",,Sutter Health,Modesto,60-90,2 year RN,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Emergency-Department_R-138666
Sutter Health::R-138071,closed,,,"Experience required, not acute","Registered Nurse II, Infusion",,Sutter Health,Santa Cruz,60-90,One year of Chemotherapy/Infusion Experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Cruz/Registered-Nurse-II--Infusion_R-138071-1
Sutter Health::R-138420,closed,,,"Experience required, not acute","Registered Nurse II, Cath Lab",Full-time · Days · $74.98–$104.96/hr,Sutter Health,Modesto,60-90,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Cath-Lab_R-138420-1
Sutter Health::R-137931,unapplied,,,"Experience required, not acute","Registered Nurse II, Intensive Care Unit",,Sutter Health,Modesto,60-90,2 years RN with prior,2026-08-13,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Intensive-Care-Unit_R-137931
Sutter Health::R-138098,unapplied,,,"Experience required, not acute","Registered Nurse II, Wound Care",Part-time · Days · $76.40–$101.18/hr,Sutter Health,Davis,60-90,2 years of recent relevant experience,2026-08-12,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Davis/Registered-Nurse-II--Wound-Care_R-138098
Sutter Health::R-136908,closed,,,"Experience required, not acute","RN, CWOCN, Certified Wound Care Nurse Lead, Home Health",Full-time · Days · $74.74–$104.64/hr,Sutter Health,Sacramento,60-90,8 years of recent relevant experience,2026-08-03,2026-09-02T08:32:38+00:00,2026-09-09T18:31:48+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/RN--CWOCN--Certified-Wound-Care-Nurse-Lead--Home-Health_R-136908
Sutter Health::R-133554,unapplied,,,"Experience required, not acute","Registered Nurse II, Interventional Radiology",,Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-07-30,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Interventional-Radiology_R-133554
Sutter Health::R-133551,closed,,,"Experience required, not acute","Registered Nurse II, Interventional Radiology",Full-time · Days · $82.48–$115.46/hr,Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-07-22,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Interventional-Radiology_R-133551
PACS Group::JR179701,unapplied,,,Requirements unclear,On-Call Registered Nurse (RN),The Pines at Placerville Healthcare Center · Skilled nursing · On-call / Per diem,PACS Group,Placerville,90-120,"2+ years of nursing experience , preferably in skilled nursing or long-term care",2026-08-24,2026-09-02T08:32:38+00:00,2026-09-18T08:34:30+00:00,,https://pacs.wd108.myworkdayjobs.com/pacs/job/The-Pines-at-Placerville-Healthcare-Center/On-Call-Registered-Nurse--RN-_JR179701-1
PACS Group::JR173595,unapplied,,,"Experience required, not acute",Part time RN,Whitney Oaks Care Center · Skilled nursing · Part-time,PACS Group,Carmichael,90-120,2 years or more experience preferably in a long-term care facility.,2026-06-25,2026-09-02T08:32:38+00:00,2026-09-18T08:34:30+00:00,,https://pacs.wd108.myworkdayjobs.com/pacs/job/Whitney-Oaks-Care-Center/Part-time-RN_JR173595
Sutter Health::R-139208,closed,,,"Experience required, not acute","Registered Nurse, Home Health",Full-time · Days · $62.57–$77.40/hr,Sutter Health,Auburn,90-120,5 years recent relevant experience,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-04T18:04:47+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Auburn/Registered-Nurse--Home-Health_R-139208
Sutter Health::R-139096,closed,,,"Experience required, not acute","RN, Hospital Liaison, Hospice .8",,Sutter Health,Santa Rosa,90-120,5 years recent relevant,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/RN--Hospital-Liaison--Hospice-8_R-139096
Sutter Health::R-137055,unapplied,,,Requirements unclear,"Staff Nurse II, Labor & Delivery",Part-time · Nights · $77.29–$102.55/hr,Sutter Health,Santa Rosa,90-120,2 years of recent relevant experience Labor and Delivery experience preferred SKILLS AN,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Labor---Delivery_R-137055-1
Sutter Health::R-134548,closed,,,"Experience required, not acute","Lead Wound Care RN (CWON), Home Health",Full-time · Days · $78.49–$109.88/hr,Sutter Health,Santa Rosa,90-120,8 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-09T18:31:48+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Lead-Wound-Care-RN--CWON---Home-Health_R-134548
Sutter Health::R-130687,unapplied,,,"Experience required, not acute","Staff Nurse II, Surgery",Part-time · Varied · $77.29–$102.55/hr,Sutter Health,Santa Rosa,90-120,2 years of recent relevant experience,2026-08-16,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Surgery_R-130687-1
Sutter Health::R-132872,unapplied,,,"Experience required, not acute","Staff Nurse II, Surgery",Full-time · Varied · $77.29–$102.55/hr,Sutter Health,Santa Rosa,90-120,2 years of recent relevant experience,2026-08-12,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Santa-Rosa/Staff-Nurse-II--Surgery_R-132872-1
Alameda Health System::2222402,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222402-clinical-nurse-ii
Alameda Health System::2222134,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222134-clinical-nurse-ii
Alameda Health System::2222133,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222133-clinical-nurse-ii
Alameda Health System::2222132,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222132-clinical-nurse-ii
Alameda Health System::2222131,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222131-clinical-nurse-ii
Alameda Health System::2222060,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222060-clinical-nurse-ii
Alameda Health System::2222039,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222039-clinical-nurse-ii
Alameda Health System::2222037,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222037-clinical-nurse-ii
Alameda Health System::2222007,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222007-clinical-nurse-ii
Alameda Health System::2222005,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2222005-clinical-nurse-ii
Alameda Health System::2221393,closed,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221393-slh-rn-ii
Alameda Health System::2221370,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221370-slh-rn-ii
Alameda Health System::2221366,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"6955 Foothill Blvd, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221366-clinical-nurse-ii
Alameda Health System::2221316,closed,,,"Experience required, not acute",Clinical Nurse II,$78.14–$114.54/hr,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,The CN II level is the journey level class where incumbents have had the required professional nursing experience and are capable of independently performing the full range of clinical nursing service,,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221316-clinical-nurse-ii
Alameda Health System::2221285,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221285-clinical-nurse-ii
Alameda Health System::2221260,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2221260-clinical-nurse-ii
Alameda Health System::2220819,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2220819-slh-rn-ii
Alameda Health System::2220808,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2220808-slh-rn-ii
Alameda Health System::2220807,closed,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2220807-slh-rn-ii
Alameda Health System::2218929,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2218929-clinical-nurse-ii
Alameda Health System::2218922,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2218922-clinical-nurse-ii
Alameda Health System::2218847,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2218847-clinical-nurse-ii
Alameda Health System::2218832,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2218832-clinical-nurse-ii
Alameda Health System::2213132,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2213132-clinical-nurse-ii
Alameda Health System::2212843,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2212843-clinical-nurse-ii
Alameda Health System::2212829,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"2060 Fairmont Drive, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2212829-clinical-nurse-ii
Alameda Health System::2211861,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"15400 Foothill Blvd, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2211861-clinical-nurse-ii
Alameda Health System::2211369,unapplied,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2211369-clinical-nurse-ii
Alameda Health System::2202003,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2202003-slh-rn-ii
Alameda Health System::2201545,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2201545-slh-rn-ii
Alameda Health System::2201456,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2201456-slh-rn-ii
Alameda Health System::2194518,closed,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2194518-slh-rn-ii
Alameda Health System::2194502,closed,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2194502-slh-rn-ii
Alameda Health System::2189855,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2189855-clinical-nurse-ii
Alameda Health System::2177094,unapplied,,,"Experience required, not acute",SLH RN II,,Alameda Health System,"13855 East 14th Street, San Leandro, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2177094-slh-rn-ii
Alameda Health System::2084223,closed,,,"Experience required, not acute",Clinical Nurse II,,Alameda Health System,"1411 East 31st Street, Oakland, CA",<30,Six months,,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,,https://alameda-health-system-careers.hctsportals.com/jobs/2084223-clinical-nurse-ii
Sutter Health::R-138763,unapplied,,,"Experience required, not acute","Staff Nurse II, Mom and Baby",Part-time · Nights · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience in L&D or Mom/Baby experience in the last 5 years,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Mom-and-Baby_R-138763-1
Sutter Health::R-135369,closed,,,"Experience required, not acute",Oncology - Complex Care RN Coordinator,Full-time · Varied · $0.00–$0.00/hr,Sutter Health,Oakland,<30,2 years of recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-09T18:31:48+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/SMSHCC---Complex-Care-RN-Coordinator_R-135369
Sutter Health::R-135088,closed,,,"Experience required, not acute",Oncology- Complex Care RN Coordinator,Full-time · Varied · $0.00–$0.00/hr,Sutter Health,Oakland,<30,2 years of recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-09T18:31:48+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Oakland/SMSHCC---Complex-Care-RN-Coordinator_R-135088
Sutter Health::R-138327,unapplied,,,"Experience required, not acute","Staff Nurse II, Neonatal ICU",Part-time · Nights · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent NICU experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Neonatal-ICU_R-138327-1
Sutter Health::R-137333,closed,,,"Experience required, not acute","Registered Nurse Specialist II, Heart Care",Full-time · Days · $86.27–$120.77/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience.,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-08T18:21:10+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Registered-Nurse-Specialist-II--Heart-Care_R-137333
Sutter Health::R-138459,unapplied,,,"Experience required, not acute","Wound Care RN, Home Health",Full-time · Days · $73.11–$98.24/hr,Sutter Health,Alameda,<30,EXPERIENCE 2 Minimum of two years of recent home care experience.,2026-08-25,2026-09-02T08:32:38+00:00,2026-09-18T08:34:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Alameda/Wound-Care-RN--Home-Health_R-138459
Sutter Health::R-138816,closed,,,"Experience required, not acute","Clinical Effectiveness Consultant III, RN",Full-time · Days · $95.11–$133.15/hr,Sutter Health,Castro Valley,<30,5 years recent relevant experience,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-09T18:31:48+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Clinical-Effectiveness-Consultant-III--RN_R-138816
Sutter Health::R-136889,unapplied,,,"Experience required, not acute","Staff Nurse II, Emergency Department",Part-time · Nights · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience.,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Emergency-Department_R-136889
Sutter Health::R-135664,closed,,,Requirements unclear,"Staff Nurse II, Nursery",,Sutter Health,Castro Valley,<30,2 years previous clinical experience in neonatal ICU and obstetrical nursing,2026-08-20,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Castro-Valley/Staff-Nurse-II--Nursery_R-135664-1
Sutter Health::R-137988,unapplied,,,"Experience required, not acute","Staff Nurse II, Emergency Department",Part-time · Nights · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Emergency-Department_R-137988-1
Sutter Health::R-137796,closed,,,"Experience required, not acute","Staff Nurse II, Medical Surgical Telemetry ACE",Part-time · Evenings · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Medical-Surgical-Telemetry-ACE_R-137796-1
Sutter Health::R-137924,unapplied,,,"Experience required, not acute","Staff Nurse II, Labor and Delivery",Part-time · Nights · $84.50–$114.34/hr,Sutter Health,San Francisco,<30,2 years of recent relevant experience,2026-08-18,2026-09-02T08:32:38+00:00,2026-09-04T07:58:30+00:00,,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/San-Francisco/Staff-Nurse-II--Labor-and-Delivery_R-137924-1
